time,open,high,low,close,ATR Trailing Stoploss,%K,%D,RSI,EMA of RSI
1698670800,149.762,149.802,149.047,149.088,149.453662552236,33.77983821319317,33.85024139771253,29.983024851994116,37.87819382335958
1698678000,149.088,149.176,148.805,149.018,149.453662552236,26.233347150729884,34.17832540447147,28.837210014009713,36.23437858529597
1698685200,149.018,149.086,148.967,149,149.453662552236,13.877956434169278,24.630380599364113,28.535229090290798,34.83453322256776
1698692400,149,149.115,148.954,149.068,149.453662552236,20.974531413791222,20.361944999563462,31.455479558423818,34.22015982908704
1698699600,149.068,149.13,149.004,149.125,149.453662552236,24.674912781477975,19.84246687647949,33.893963185120654,34.160851348365874
1698706800,149.125,149.452,149.082,149.416,149.453662552236,37.86869647954337,27.839380224937525,44.70850764090825,36.078607037919035
1698714000,149.416,149.557,149.369,149.446,149.453662552236,49.85727878211204,37.466962681044464,45.694835258508874,37.82701216893537
1698721200,149.446,150.186,149.328,150.148,149.453662552236,72.12433798093015,53.283437747528524,62.536145614970295,42.319581886396264
1698728400,150.148,150.314,150.098,150.204,149.6391217674718,83.64943625480353,68.54368433928191,63.508363665595574,46.1720876644325
1698735600,150.204,150.446,150.071,150.408,149.75609741397744,95.88103793494973,83.8849373902278,66.8801948310963,49.93719805837138
1698742800,150.408,150.762,150.068,150.685,149.93247793118195,95.48671643101513,91.67239687358945,70.82253683132382,53.73453238072637
1698750000,150.685,150.95,150.638,150.933,150.16158234494557,97.65240141976149,96.34005192857545,73.82643991887004,57.387606478570675
1698757200,150.933,151.334,150.818,151.26,150.49686587595647,97.44893590372082,96.86268458483248,77.16473819444097,60.983448608728914
1698764400,151.26,151.704,151.206,151.704,150.83509270076516,98.76046715904357,97.95393482750863,80.75412248573164,64.57811658636578
1698771600,151.704,151.71,151.063,151.59,150.83509270076516,97.64771110652838,97.95237138976427,77.39049307683403,66.90763958463273
1698778800,151.59,151.72,151.513,151.714,150.8740593284897,98.55075710340583,98.3196451229926,78.44232622079618,69.00485533666244
1698786000,151.714,151.714,151.358,151.402,150.89484746279177,94.71850836877081,96.97232552623501,69.66094710108909,69.12414474837638
1698793200,151.402,151.484,151.154,151.368,150.89484746279177,91.77536613858352,95.01487720358672,68.75762602532373,69.05750498054863
1698800400,151.368,151.432,151.166,151.222,150.89484746279177,85.55502677458553,90.68296709397997,64.86771227395383,68.29572448844048
1698807600,151.222,151.334,151.142,151.324,150.89484746279177,83.8688808603913,87.06642459118679,66.302060004346,67.93324003678694
1698814800,151.324,151.372,151.244,151.254,150.89484746279177,81.69509095688369,83.7063328639535,64.36006961425339,67.28357268723539
1698822000,151.254,151.398,151.205,151.222,150.89484746279177,77.9393107506595,81.16776085597816,63.44520780131362,66.58568816252235
1698829200,151.222,151.296,151.14,151.2,150.89484746279177,72.96537287325764,77.53325819360028,62.78444070188634,65.89455226058853
1698836400,151.2,151.245,151.084,151.184,150.89484746279177,68.64406779660989,73.18291714017568,62.276450398308356,65.23671555835577
1698843600,151.184,151.38,150.817,151.056,150.89484746279177,58.236548167310296,66.6153296123926,58.21821749761495,63.96062500185744
1698850800,151.056,151.156,150.949,151.073,150.89484746279177,44.84552890321297,57.24204828904437,58.604046299351836,62.986701601401876
1698858000,151.073,151.242,150.862,150.994,150.8537240966076,28.86114539813563,43.98107415621962,56.015370029080614,61.719186770070735
1698865200,150.994,151.02,150.662,150.962,150.8537240966076,25.43555368543221,33.04740932892693,54.95641837905126,60.4895925171581
1698872400,150.962,150.962,150.61,150.664,150.8537240966076,17.607193764048166,23.967964282538663,46.19770537396923,57.89106758203285
1698879600,150.664,150.688,150.332,150.349,150.8537240966076,11.483451230316854,18.175399559932405,39.10332409265324,54.47511422032747
1698886800,150.349,150.416,150.151,150.272,150.8537240966076,5.0574118282168,11.382685607527266,37.58396116258616,51.40399548255632
1698894000,150.272,150.47,150.232,150.436,150.79817927728607,10.851871393168983,9.130911483900872,42.69142461416722,49.819891688303755
1698901200,150.436,150.473,150.356,150.393,150.7846747374631,16.910696219640997,10.939993147008927,41.72728813323008,48.348509223744905
1698908400,150.393,150.584,150.168,150.406,150.7846747374631,20.701299042761,16.15462221852366,42.15263285311653,47.22198624726702
1698915600,150.406,150.432,150.227,150.356,150.64275183197637,18.76503608660728,18.792343783003094,40.91561426000575,46.07537315867406
1698922800,150.356,150.4,149.952,149.986,150.64275183197637,13.089828286299237,17.51872113855584,33.16048850810736,43.72721231311648
1698930000,149.986,150.418,149.845,150.289,150.3974014655811,15.915162835144605,15.923342402683708,42.73307351810323,43.546459804932255
1698937200,150.289,150.546,150.278,150.532,150.32312117246488,25.353911379969883,18.119634167137907,49.036846785801174,44.54471198327206
1698944400,150.532,150.541,150.374,150.418,150.0344969379719,38.23241520335605,26.500496472823514,46.45341151804465,44.89174826232162
1698951600,150.418,150.534,150.402,150.474,149.9972851457933,43.5990726211049,35.72846640147694,47.90531037063328,45.43966864565101
1698958800,150.474,150.528,150.421,150.478,150.04818219300705,46.63795265437105,42.82314682627733,48.01374044954915,45.907681700905215
1698966000,150.478,150.522,150.318,150.396,150.05654575440565,49.40865091707145,46.54855873084913,45.904388401877846,45.90708291926388
1698973200,150.396,150.468,150.351,150.374,150.05654575440565,55.3176583280266,50.4547539664897,45.32901036809472,45.80197881905131
1698980400,150.374,150.384,150.274,150.284,150.05654575440565,57.16174512348476,53.9626847895276,42.95689158707904,45.28469023141999
1698987600,150.284,150.343,150.248,150.302,150.05654575440565,61.332333831478344,57.93724576099657,43.59267671523989,44.97705141029633
1698994800,150.302,150.416,150.236,150.401,150.07082834100456,65.49391069012133,61.329329881694804,47.08589714792715,45.36047790804739
1699002000,150.401,150.426,150.205,150.227,150.07082834100456,62.922868741542715,63.249704421047454,42.14571804014673,44.77597611388364
1699009200,150.227,150.229,149.286,149.402,150.07082834100456,45.37821022259465,57.93166321808622,27.443547004369663,41.62462536669928
1699016400,149.402,149.758,149.196,149.482,150.07082834100456,27.361003119234784,45.22069402779072,29.99381117991966,39.50993187819389
1699023600,149.482,149.518,149.252,149.335,150.07082834100456,13.562610229276856,28.767274523702095,28.043292307870445,37.42508831995326
1699030800,149.335,149.422,149.248,149.312,150.07082834100456,13.358024691358702,18.093879346623442,27.739336977029268,35.66404262123981
1699038000,149.312,149.48,149.312,149.367,150.07082834100456,10.534214511910106,12.484949810848553,29.701549552662527,34.579952972407575
1699221600,149.367,149.482,149.344,149.456,150.07082834100456,13.579445093762052,12.490561432343616,32.87785276820317,34.270480208006774
1699228800,149.456,149.653,149.44,149.538,150.07082834100456,19.273806121456428,14.462488575709527,35.757930784164174,34.54092576730812
1699236000,149.538,149.675,149.499,149.58,150.07082834100456,24.688979911876828,19.180743709031766,37.24324725167385,35.0322569462837
1699243200,149.58,149.66,149.48,149.546,150.06146267280366,27.383558321405847,23.782114784913034,36.507388345231696,35.30046265518334
1699250400,149.546,149.736,149.469,149.731,149.56017013824294,33.32364474929682,28.465394327526496,43.09563821402844,36.71776730224608
1699257600,149.731,149.731,149.378,149.678,149.2702486582884,36.732883366569546,32.48002881242407,41.758785522492936,37.63431606956369
1699264800,149.678,149.678,149.562,149.626,149.2702486582884,39.21409214092181,36.42354008559605,40.433516906641,38.143261676305016
1699272000,149.626,149.838,149.604,149.808,149.37844731304367,41.30081300813045,39.082596171873924,46.797654503134574,39.71678764481948
1699279200,149.808,149.832,149.68,149.731,149.40355785043494,45.50211581496251,42.00567365467158,44.625337814119504,40.60925131196494
1699286400,149.731,149.862,149.68,149.854,149.44644628034794,66.7819322167308,51.19495367994124,48.72024500474166,42.08397743792435
1699293600,149.854,149.983,149.824,149.976,149.58695702427838,83.21243937894505,65.16549580354611,52.47430214371785,43.97312738443225
1699300800,149.976,150.084,149.962,150.072,149.71836561942268,98.80367038261845,82.93268065943143,55.250432560008925,46.02354650726438
1699308000,150.072,150.074,149.936,149.988,149.72629249553816,95.05899306281047,92.35836760812465,52.36793123345604,47.17707100293559
1699315200,149.988,150.156,149.964,150.09,149.80103399643053,92.66709377435961,95.50991907326284,55.41005145933229,48.67397654046226
1699322400,150.09,150.226,150.07,150.198,149.8796271971444,92.0449337430639,93.257006860078,58.436915841498156,50.44905641337788
1699329600,150.198,150.319,150.197,150.29,149.99310175771552,95.16273551569797,93.29158767770714,60.87347006030562,52.34440434918292
1699336800,150.29,150.492,150.274,150.485,150.14408140617243,97.66263970569145,94.95676965481778,65.4912103891202,54.73473272008061
1699344000,150.485,150.494,150.246,150.432,150.14408140617243,96.91141678465652,96.57893066868199,63.304366491041904,56.29284795116448
1699351200,150.432,150.455,150.296,150.408,150.14408140617243,95.36999500224151,96.6480171641965,62.29004996611638,57.383248317519374
1699358400,150.408,150.644,150.382,150.576,150.24669767996028,93.48456440460389,95.25532539716731,66.35406377301886,59.01430567306473
1699365600,150.576,150.692,150.472,150.5,150.28615814396824,89.45406331527936,92.76954090737492,63.044031783415946,59.746983147674044
1699372800,150.5,150.624,150.451,150.548,150.28615814396824,87.279678041315,90.0727685870661,64.2567800626875,60.56694622313103
